Ticket_ID,System,Document,Severity,RCA_Category,Manual_Remediation,Timestamp,Business_Impact
INC-10113,Middleware,Data sync failure between Middleware and Middleware. Urgent help needed.,High,Sync Agent,Flush sync buffer,2026-01-14 14:00:00,4
INC-10114,Middleware,Access denied for user in Middleware. Reported by monitoring.,Medium,Permissions,Update IAM policy for Middleware,2026-03-12 17:00:00,1
INC-10115,SAP ERP,Access denied for user in SAP ERP. Intermittent issue.,Medium,Permissions,Update IAM policy for SAP ERP,2026-02-12 15:00:00,2
INC-10116,Identity Access,Memory limit exceeded in Identity Access. Intermittent issue.,Critical,Resource,Scale up Identity Access instance,2026-03-13 21:00:00,1
INC-10117,Cloud Infrastructure,Data sync failure between Cloud Infrastructure and Middleware. Intermittent issue.,High,Sync Agent,Flush sync buffer,2026-03-02 21:00:00,5
INC-10118,Cloud Infrastructure,Latency spike in Cloud Infrastructure API. Intermittent issue.,Low,Performance,Clear cache and monitor,2026-03-25 01:00:00,3
INC-10119,SAP ERP,Data sync failure between SAP ERP and Middleware. Urgent help needed.,High,Sync Agent,Flush sync buffer,2026-03-17 20:00:00,4
INC-10120,Cloud Infrastructure,Memory limit exceeded in Cloud Infrastructure. Urgent help needed.,Critical,Resource,Scale up Cloud Infrastructure instance,2026-03-08 12:00:00,5
INC-10121,Cloud Infrastructure,Memory limit exceeded in Cloud Infrastructure. Error code 504.,Critical,Resource,Scale up Cloud Infrastructure instance,2026-02-20 18:00:00,2
INC-10122,Cloud Infrastructure,Access denied for user in Cloud Infrastructure. Intermittent issue.,Medium,Permissions,Update IAM policy for Cloud Infrastructure,2026-03-03 04:00:00,2
INC-10123,Oracle DB,Data sync failure between Oracle DB and Middleware. Intermittent issue.,High,Sync Agent,Flush sync buffer,2026-02-28 06:00:00,5
INC-10124,Identity Access,Memory limit exceeded in Identity Access. Intermittent issue.,Critical,Resource,Scale up Identity Access instance,2026-01-25 18:00:00,3
INC-10125,Cloud Infrastructure,Memory limit exceeded in Cloud Infrastructure. Reported by monitoring.,Critical,Resource,Scale up Cloud Infrastructure instance,2026-03-04 08:00:00,2
INC-10126,Cloud Infrastructure,Latency spike in Cloud Infrastructure API. Intermittent issue.,Low,Performance,Clear cache and monitor,2026-03-11 08:00:00,3
INC-10127,Oracle DB,Memory limit exceeded in Oracle DB. Urgent help needed.,Critical,Resource,Scale up Oracle DB instance,2026-03-17 03:00:00,5
INC-10128,Middleware,Access denied for user in Middleware. Error code 504.,Medium,Permissions,Update IAM policy for Middleware,2026-03-13 07:00:00,2
INC-10129,SAP ERP,Data sync failure between SAP ERP and Middleware. Urgent help needed.,High,Sync Agent,Flush sync buffer,2026-03-27 01:00:00,1
INC-10130,SAP ERP,Memory limit exceeded in SAP ERP. Reported by monitoring.,Critical,Resource,Scale up SAP ERP instance,2026-01-04 12:00:00,3
INC-10131,Middleware,Connection timeout in Middleware. Error code 504.,High,Network/DB,Restart Middleware services,2026-02-25 04:00:00,1
INC-10132,Oracle DB,Connection timeout in Oracle DB. Urgent help needed.,High,Network/DB,Restart Oracle DB services,2026-02-10 07:00:00,5
INC-10133,SAP ERP,Access denied for user in SAP ERP. Error code 504.,Medium,Permissions,Update IAM policy for SAP ERP,2026-01-03 16:00:00,5
INC-10134,Middleware,Access denied for user in Middleware. Reported by monitoring.,Medium,Permissions,Update IAM policy for Middleware,2026-01-08 23:00:00,2
INC-10135,Identity Access,Latency spike in Identity Access API. Intermittent issue.,Low,Performance,Clear cache and monitor,2026-03-22 07:00:00,2
INC-10136,SAP ERP,Connection timeout in SAP ERP. Urgent help needed.,High,Network/DB,Restart SAP ERP services,2026-03-09 04:00:00,1
INC-10137,Middleware,Latency spike in Middleware API. Reported by monitoring.,Low,Performance,Clear cache and monitor,2026-02-23 11:00:00,1
INC-10138,Oracle DB,Connection timeout in Oracle DB. Reported by monitoring.,High,Network/DB,Restart Oracle DB services,2026-01-20 15:00:00,5
INC-10139,SAP ERP,Data sync failure between SAP ERP and Middleware. Intermittent issue.,High,Sync Agent,Flush sync buffer,2026-01-11 02:00:00,3
INC-10140,Cloud Infrastructure,Connection timeout in Cloud Infrastructure. Intermittent issue.,High,Network/DB,Restart Cloud Infrastructure services,2026-01-07 09:00:00,5
INC-10141,Identity Access,Connection timeout in Identity Access. Reported by monitoring.,High,Network/DB,Restart Identity Access services,2026-03-12 10:00:00,3
INC-10142,Oracle DB,Connection timeout in Oracle DB. Urgent help needed.,High,Network/DB,Restart Oracle DB services,2026-03-07 12:00:00,1
INC-10143,Middleware,Data sync failure between Middleware and Middleware. Urgent help needed.,High,Sync Agent,Flush sync buffer,2026-03-09 10:00:00,4
INC-10144,Oracle DB,Access denied for user in Oracle DB. Error code 504.,Medium,Permissions,Update IAM policy for Oracle DB,2026-03-04 20:00:00,3
INC-10145,Middleware,Access denied for user in Middleware. Intermittent issue.,Medium,Permissions,Update IAM policy for Middleware,2026-01-11 16:00:00,3
INC-10146,Identity Access,Connection timeout in Identity Access. Intermittent issue.,High,Network/DB,Restart Identity Access services,2026-02-28 17:00:00,1
INC-10147,Middleware,Connection timeout in Middleware. Error code 504.,High,Network/DB,Restart Middleware services,2026-02-22 21:00:00,4
INC-10148,Oracle DB,Memory limit exceeded in Oracle DB. Urgent help needed.,Critical,Resource,Scale up Oracle DB instance,2026-02-06 04:00:00,1
INC-10149,Oracle DB,Memory limit exceeded in Oracle DB. Urgent help needed.,Critical,Resource,Scale up Oracle DB instance,2026-02-01 02:00:00,4
INC-10150,Middleware,Memory limit exceeded in Middleware. Reported by monitoring.,Critical,Resource,Scale up Middleware instance,2026-01-17 18:00:00,4
INC-10151,SAP ERP,Data sync failure between SAP ERP and Middleware. Error code 504.,High,Sync Agent,Flush sync buffer,2026-01-28 22:00:00,3
INC-10152,Identity Access,Memory limit exceeded in Identity Access. Error code 504.,Critical,Resource,Scale up Identity Access instance,2026-01-28 07:00:00,1
INC-10153,Middleware,Connection timeout in Middleware. Urgent help needed.,High,Network/DB,Restart Middleware services,2026-03-13 09:00:00,4
INC-10154,Cloud Infrastructure,Connection timeout in Cloud Infrastructure. Urgent help needed.,High,Network/DB,Restart Cloud Infrastructure services,2026-02-09 12:00:00,3
INC-10155,Middleware,Access denied for user in Middleware. Intermittent issue.,Medium,Permissions,Update IAM policy for Middleware,2026-03-14 02:00:00,2
INC-10156,Middleware,Memory limit exceeded in Middleware. Error code 504.,Critical,Resource,Scale up Middleware instance,2026-01-12 20:00:00,3
INC-10157,Cloud Infrastructure,Latency spike in Cloud Infrastructure API. Reported by monitoring.,Low,Performance,Clear cache and monitor,2026-01-11 08:00:00,1
INC-10158,Oracle DB,Connection timeout in Oracle DB. Intermittent issue.,High,Network/DB,Restart Oracle DB services,2026-02-24 16:00:00,3
INC-10159,Oracle DB,Memory limit exceeded in Oracle DB. Reported by monitoring.,Critical,Resource,Scale up Oracle DB instance,2026-02-08 07:00:00,5
INC-10160,SAP ERP,Latency spike in SAP ERP API. Urgent help needed.,Low,Performance,Clear cache and monitor,2026-02-05 22:00:00,5
INC-10161,Middleware,Memory limit exceeded in Middleware. Intermittent issue.,Critical,Resource,Scale up Middleware instance,2026-02-26 23:00:00,5
INC-10162,SAP ERP,Connection timeout in SAP ERP. Intermittent issue.,High,Network/DB,Restart SAP ERP services,2026-02-15 19:00:00,2
INC-10163,Oracle DB,Data sync failure between Oracle DB and Middleware. Intermittent issue.,High,Sync Agent,Flush sync buffer,2026-03-23 00:00:00,4
INC-10164,Identity Access,Access denied for user in Identity Access. Error code 504.,Medium,Permissions,Update IAM policy for Identity Access,2026-02-09 00:00:00,3
INC-10165,Identity Access,Connection timeout in Identity Access. Urgent help needed.,High,Network/DB,Restart Identity Access services,2026-01-29 00:00:00,4
INC-10166,Cloud Infrastructure,Access denied for user in Cloud Infrastructure. Error code 504.,Medium,Permissions,Update IAM policy for Cloud Infrastructure,2026-02-17 05:00:00,3
INC-10167,SAP ERP,Data sync failure between SAP ERP and Middleware. Error code 504.,High,Sync Agent,Flush sync buffer,2026-03-06 20:00:00,4
INC-10168,Oracle DB,Data sync failure between Oracle DB and Middleware. Reported by monitoring.,High,Sync Agent,Flush sync buffer,2026-03-03 10:00:00,3
INC-10169,Identity Access,Data sync failure between Identity Access and Middleware. Reported by monitoring.,High,Sync Agent,Flush sync buffer,2026-03-26 20:00:00,4
INC-10170,Identity Access,Connection timeout in Identity Access. Urgent help needed.,High,Network/DB,Restart Identity Access services,2026-01-19 13:00:00,4
INC-10171,Identity Access,Latency spike in Identity Access API. Error code 504.,Low,Performance,Clear cache and monitor,2026-02-11 03:00:00,5
INC-10172,Oracle DB,Latency spike in Oracle DB API. Reported by monitoring.,Low,Performance,Clear cache and monitor,2026-02-21 02:00:00,5
INC-10173,Cloud Infrastructure,Connection timeout in Cloud Infrastructure. Intermittent issue.,High,Network/DB,Restart Cloud Infrastructure services,2026-03-20 07:00:00,5
INC-10174,Cloud Infrastructure,Data sync failure between Cloud Infrastructure and Middleware. Urgent help needed.,High,Sync Agent,Flush sync buffer,2026-02-25 19:00:00,3
INC-10175,Cloud Infrastructure,Latency spike in Cloud Infrastructure API. Reported by monitoring.,Low,Performance,Clear cache and monitor,2026-01-04 07:00:00,5
INC-10176,SAP ERP,Latency spike in SAP ERP API. Reported by monitoring.,Low,Performance,Clear cache and monitor,2026-02-11 11:00:00,3
INC-10177,SAP ERP,Data sync failure between SAP ERP and Middleware. Reported by monitoring.,High,Sync Agent,Flush sync buffer,2026-03-26 14:00:00,5
INC-10178,Cloud Infrastructure,Data sync failure between Cloud Infrastructure and Middleware. Urgent help needed.,High,Sync Agent,Flush sync buffer,2026-02-11 12:00:00,3
INC-10179,Middleware,Latency spike in Middleware API. Reported by monitoring.,Low,Performance,Clear cache and monitor,2026-02-02 05:00:00,1
INC-10180,SAP ERP,Memory limit exceeded in SAP ERP. Intermittent issue.,Critical,Resource,Scale up SAP ERP instance,2026-02-17 20:00:00,5
INC-10181,Identity Access,Latency spike in Identity Access API. Urgent help needed.,Low,Performance,Clear cache and monitor,2026-03-08 10:00:00,2
INC-10182,SAP ERP,Memory limit exceeded in SAP ERP. Intermittent issue.,Critical,Resource,Scale up SAP ERP instance,2026-03-05 02:00:00,4
INC-10183,Cloud Infrastructure,Latency spike in Cloud Infrastructure API. Reported by monitoring.,Low,Performance,Clear cache and monitor,2026-03-28 20:00:00,1
INC-10184,Identity Access,Data sync failure between Identity Access and Middleware. Reported by monitoring.,High,Sync Agent,Flush sync buffer,2026-02-23 16:00:00,5
INC-10185,Middleware,Memory limit exceeded in Middleware. Error code 504.,Critical,Resource,Scale up Middleware instance,2026-03-13 05:00:00,3
INC-10186,Identity Access,Connection timeout in Identity Access. Reported by monitoring.,High,Network/DB,Restart Identity Access services,2026-03-21 19:00:00,4
INC-10187,Oracle DB,Memory limit exceeded in Oracle DB. Error code 504.,Critical,Resource,Scale up Oracle DB instance,2026-03-05 12:00:00,3
INC-10188,SAP ERP,Data sync failure between SAP ERP and Middleware. Error code 504.,High,Sync Agent,Flush sync buffer,2026-01-06 07:00:00,3
INC-10189,Middleware,Connection timeout in Middleware. Intermittent issue.,High,Network/DB,Restart Middleware services,2026-03-11 19:00:00,4
INC-10190,Middleware,Latency spike in Middleware API. Error code 504.,Low,Performance,Clear cache and monitor,2026-01-15 15:00:00,4
INC-10191,SAP ERP,Data sync failure between SAP ERP and Middleware. Reported by monitoring.,High,Sync Agent,Flush sync buffer,2026-03-14 13:00:00,5
